lesson,source_section,source_subsection,item_no,source_page,grammar_point_id,target_form,cue,cue_form,prompt,answer,full_answer_sentence,notes,source_locator
L34,文型,,1,2,G1,動詞とおりに,言います,ます形,わたしが今から（言います→＿＿）とおりに、書いてください。,言う,わたしが今から言うとおりに、書いてください。,,"L34, 文型, 1"
L34,文型,,2,2,G3,たあとで,食べます,ます形,ごはんを（食べます→＿＿）あとで、歯を磨きます。,食べた,ごはんを食べたあとで、歯を磨きます。,,"L34, 文型, 2"
L34,文型,,3,2,G4,てで／ないで,入れます,ます形／ない,コーヒーは砂糖を（入れます→＿＿）飲みます。,入れないで,コーヒーは砂糖を入れないで飲みます。,,"L34, 文型, 3"
L34,例文,,1,2,G1,動詞とおりに,します,ます形,わたしが（します→＿＿）とおりに、踊ってください。,する,わたしがするとおりに、踊ってください。,,"L34, 例文, 1"
L34,例文,,2,3,G1,動詞とおりに,見ます,ます形,（見ます→＿＿）とおりに、話してください。,見た,見たとおりに、話してください。,,"L34, 例文, 2"
L34,例文,,3,3,G2,名詞のとおりに,説明書,名詞,（説明書→＿＿）とおりに、組み立ててください。,説明書の,説明書のとおりに、組み立ててください。,,"L34, 例文, 3"
L34,例文,,4,3,G3,たあとで,帰ります,ます形,うちへ（帰ります→＿＿）あとで、気がついたんです。,帰った,うちへ帰ったあとで、気がついたんです。,,"L34, 例文, 4"
L34,例文,,5,3,G3,たあとで,仕事,名詞,（仕事→＿＿）あとで、飲みに行きませんか。,仕事の,仕事のあとで、飲みに行きませんか。,,"L34, 例文, 5"
L34,例文,,6,3,G4,てで／ないで,着ます,ます形,日本では男の人は黒か紺のスーツを（着ます→＿＿）、白いネクタイをして行きます。,着て,日本では男の人は黒か紺のスーツを着て、白いネクタイをして行きます。,,"L34, 例文, 6"
L34,例文,,7,3,G4,てで／ないで,つけます,ます形／ない,何も（つけます→＿＿）食べてください。,つけないで,何もつけないで食べてください。,,"L34, 例文, 7"
L34,例文,,8,3,G5,ないで,乗ります,ます形／ない,バスに（乗ります→＿＿）、駅まで歩いているんです。,乗らないで,バスに乗らないで、駅まで歩いているんです。,,"L34, 例文, 8"
L34,会話,,タイトル,3,G1,動詞とおりに,します,ます形,（します→＿＿）とおりにしてください。,する,するとおりにしてください。,,"L34, 会話, タイトル"
L34,会話,,1,3,G3,たあとで,食べます,ます形,甘いお菓子を（食べます→＿＿）あとで、お茶を飲むと、おいしいんですよ。,食べた,甘いお菓子を食べたあとで、お茶を飲むと、おいしいんですよ。,,"L34, 会話, 1"
L34,会話,,2,3,G1,動詞とおりに,します,ます形,わたしが（します→＿＿）とおりに、してくださいね。,する,わたしがするとおりに、してくださいね。,,"L34, 会話, 2"
L34,練習A,1,1-1,4,G1,動詞とおりに,説明します,ます形,わたしが今から（説明します→＿＿）とおりに、パソコンのキーを押してください。,説明する,わたしが今から説明するとおりに、パソコンのキーを押してください。,,"L34, 練習A 1, 1-1"
L34,練習A,1,1-2,4,G1,動詞とおりに,言います,ます形,わたしがさっき（言います→＿＿）とおりに、パソコンのキーを押してください。,言った,わたしがさっき言ったとおりに、パソコンのキーを押してください。,,"L34, 練習A 1, 1-2"
L34,練習A,1,1-3,4,G2,名詞のとおりに,番号,名詞,この（番号→＿＿）とおりに、パソコンのキーを押してください。,番号の,この番号のとおりに、パソコンのキーを押してください。,,"L34, 練習A 1, 1-3"
