lesson,source_section,item_no,japanese,kana,word_type,chinese_meaning,usage_note,source_locator
L36,ことば,1,届きます,とどきます,動詞Ⅰ,送行李；送達,搭配：荷物が届きます,"L36, ことば, 1"
L36,ことば,2,出ます,でます,動詞Ⅱ,參加比賽,搭配：試合に出ます,"L36, ことば, 2"
L36,ことば,3,打ちます,うちます,動詞Ⅰ,打字（文字處理機）,搭配：ワープロを打ちます,"L36, ことば, 3"
L36,ことば,4,貯金します,ちょきんします,動詞Ⅲ,儲蓄；存錢,,"L36, ことば, 4"
L36,ことば,5,太ります,ふとります,動詞Ⅰ,長胖,,"L36, ことば, 5"
L36,ことば,6,やせます,やせます,動詞Ⅱ,變瘦,,"L36, ことば, 6"
L36,ことば,7,過ぎます,すぎます,動詞Ⅱ,過點；超過,搭配：7時を過ぎます,"L36, ことば, 7"
L36,ことば,8,慣れます,なれます,動詞Ⅱ,適應習慣,搭配：習慣に慣れます,"L36, ことば, 8"
L36,ことば,9,硬い,かたい,い形容詞,硬的,,"L36, ことば, 9"
L36,ことば,10,軟らかい,やわらかい,い形容詞,軟的,,"L36, ことば, 10"
L36,ことば,11,電子～,でんし～,接頭辭,電子～,,"L36, ことば, 11"
L36,ことば,12,携帯～,けいたい～,接頭辭,攜帶式～,,"L36, ことば, 12"
L36,ことば,13,工場,こうじょう,名詞,工廠,,"L36, ことば, 13"
L36,ことば,14,健康,けんこう,名詞,健康,,"L36, ことば, 14"
L36,ことば,15,剣道,けんどう,名詞,劍道,,"L36, ことば, 15"
L36,ことば,16,毎週,まいしゅう,名詞,每週；每星期,,"L36, ことば, 16"
L36,ことば,17,毎月,まいつき,名詞,每月,,"L36, ことば, 17"
L36,ことば,18,毎年,まいとし／まいねん,名詞,每年,,"L36, ことば, 18"
L36,ことば,19,やっと,やっと,副詞,終於,,"L36, ことば, 19"
L36,ことば,20,かなり,かなり,副詞,相當；很,,"L36, ことば, 20"
L36,ことば,21,必ず,かならず,副詞,一定；肯定,,"L36, ことば, 21"
L36,ことば,22,絶対に,ぜったいに,副詞,絕對（和否定形一起使用）,,"L36, ことば, 22"
L36,ことば,23,上手に,じょうずに,副詞,擅長地,,"L36, ことば, 23"
L36,ことば,24,できるだけ,できるだけ,副詞,儘量,,"L36, ことば, 24"
L36,ことば,25,このごろ,このごろ,副詞,這些天；最近,,"L36, ことば, 25"
L36,ことば,26,～ずつ,～ずつ,助詞,每；各,,"L36, ことば, 26"
L36,ことば,27,そのほうが～,そのほうが～,慣用表現,那樣比較～,,"L36, ことば, 27"
L36,ことば,28,ショパン,ショパン,人名,蕭邦（波蘭音樂家，1810-1849）,,"L36, ことば, 28"
L36,会話語彙,,お客様,おきゃくさま,名詞,客人；顧客,,"L36, 会話語彙, p.2"
L36,会話語彙,,特別,とくべつ,な形容詞,特別的,原文為 特別［な］；［な］未作為單詞抽出,"L36, 会話語彙, p.2"
L36,会話語彙,,していらっしゃいます,していらっしゃいます,慣用表現,正在做（～しています的敬體）,,"L36, 会話語彙, p.2"
L36,会話語彙,,水泳,すいえい,名詞,游泳,,"L36, 会話語彙, p.2"
L36,会話語彙,,～とか、～とか,～とか、～とか,助詞,～或～等,,"L36, 会話語彙, p.2"
L36,会話語彙,,タンゴ,タンゴ,名詞,探戈,,"L36, 会話語彙, p.2"
L36,会話語彙,,チャレンジします,チャレンジします,動詞Ⅲ,挑戰,,"L36, 会話語彙, p.2"
L36,会話語彙,,気持ち,きもち,名詞,心情；情緒,,"L36, 会話語彙, p.2"
L36,読み物語彙,,乗り物,のりもの,名詞,交通工具,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,歴史,れきし,名詞,歷史,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,…世紀,…せいき,名詞,…世紀,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,遠く,とおく,名詞,遠處,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,汽車,きしゃ,名詞,火車,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,汽船,きせん,名詞,汽船,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,大勢の～,おおぜいの～,慣用表現,很多（人）,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,運びます,はこびます,動詞Ⅰ,運送,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,飛びます,とびます,動詞Ⅰ,飛翔,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,安全,あんぜん,な形容詞,安全的,原文為 安全［な］；［な］未作為單詞抽出,"L36, 読み物語彙, p.2"
L36,読み物語彙,,宇宙,うちゅう,名詞,宇宙,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,地球,ちきゅう,名詞,地球,,"L36, 読み物語彙, p.2"
L36,読み物語彙,,ライト兄弟,ライトきょうだい,人名,萊特兄弟（美國航空先驅；韋伯·萊特1867-1912／奧韋爾·萊特1871-1948）,,"L36, 読み物語彙, p.2"
